SentenceBERT_Baseline,NA,0.8200,0.6882
config,run,recall_at_1,recall_at_5,mrr
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0_run1,0.3100,0.8050,0.5027
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0_run2,0.2850,0.7750,0.4971
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0_run3,0.3600,0.7400,0.5213
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0.02_run1,0.3450,0.7500,0.5249
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0.02_run2,0.3550,0.7750,0.5373
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0.02_run3,0.4000,0.7650,0.5593
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0.05_run1,0.3750,0.7650,0.5392
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0.05_run2,0.3800,0.7550,0.5416
ELMChain_512_256_128_relu-tanh-leakyRelu_dropout0.05_run3,0.3500,0.8050,0.5319
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0_run1,0.3750,0.8000,0.5485
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0_run2,0.3600,0.7550,0.5301
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0_run3,0.3950,0.8200,0.5731
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0.02_run1,0.3100,0.8050,0.5111
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0.02_run2,0.3050,0.7750,0.5023
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0.02_run3,0.2800,0.7400,0.4792
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0.05_run1,0.3300,0.7700,0.5066
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0.05_run2,0.2450,0.7750,0.4706
ELMChain_256_128_64_32_relu-tanh-leakyRelu-relu_dropout0.05_run3,0.3500,0.7400,0.5137
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0_run1,0.3200,0.7100,0.4932
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0_run2,0.4050,0.7850,0.5781
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0_run3,0.3950,0.8000,0.5667
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0.02_run1,0.3300,0.7300,0.5042
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0.02_run2,0.3300,0.8000,0.5313
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0.02_run3,0.3850,0.7800,0.5609
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0.05_run1,0.3250,0.7400,0.5074
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0.05_run2,0.3250,0.7600,0.5004
ELMChain_256_128_64_32_16_relu-tanh-leakyRelu-relu-tanh_dropout0.05_run3,0.3200,0.7350,0.4957
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0_run1,0.3750,0.7600,0.5419
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0_run2,0.3400,0.8050,0.5299
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0_run3,0.2550,0.7350,0.4683
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0.02_run1,0.2650,0.7750,0.4763
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0.02_run2,0.3650,0.7450,0.5330
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0.02_run3,0.3300,0.7650,0.5195
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0.05_run1,0.3800,0.7550,0.5437
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0.05_run2,0.2700,0.7000,0.4645
ELMChain_128_64_32_16_8_4_relu-tanh-leakyRelu-relu-tanh-leakyRelu_dropout0.05_run3,0.2800,0.7550,0.4849
