SentenceBERT_Baseline,NA,0.8200,0.6882
config,run,recall_at_1,recall_at_5,mrr
ELMChain_256_128_64_32_16_tanh_dropout0_run3,0.2950,0.7100,0.4723
ELMChain_256_128_64_32_16_tanh_dropout0.02_run1,0.3800,0.7500,0.5425
ELMChain_256_128_64_32_16_tanh_dropout0.02_run2,0.3700,0.7400,0.5384
ELMChain_256_128_64_32_16_tanh_dropout0.02_run3,0.3250,0.8150,0.5250
ELMChain_256_128_64_32_16_tanh_dropout0.05_run1,0.3650,0.7700,0.5447
ELMChain_256_128_64_32_16_tanh_dropout0.05_run2,0.3650,0.7200,0.5359
ELMChain_256_128_64_32_16_tanh_dropout0.05_run3,0.2800,0.7450,0.4832
ELMChain_256_128_64_32_16_leakyRelu_dropout0_run1,0.2900,0.7050,0.4786
ELMChain_256_128_64_32_16_leakyRelu_dropout0_run2,0.2850,0.7700,0.5012
ELMChain_256_128_64_32_16_leakyRelu_dropout0_run3,0.2950,0.7100,0.4940
ELMChain_256_128_64_32_16_leakyRelu_dropout0.02_run1,0.2850,0.7600,0.4826
ELMChain_256_128_64_32_16_leakyRelu_dropout0.02_run2,0.3300,0.7950,0.5220
ELMChain_256_128_64_32_16_leakyRelu_dropout0.02_run3,0.3300,0.7600,0.5252
ELMChain_256_128_64_32_16_leakyRelu_dropout0.05_run1,0.3350,0.7750,0.5261
ELMChain_256_128_64_32_16_leakyRelu_dropout0.05_run2,0.3450,0.8000,0.5324
ELMChain_256_128_64_32_16_leakyRelu_dropout0.05_run3,0.3700,0.7550,0.5436
ELMChain_128_64_32_16_8_4_relu_dropout0_run1,0.4950,0.7150,0.5887
ELMChain_128_64_32_16_8_4_relu_dropout0_run2,0.3450,0.7350,0.5192
ELMChain_128_64_32_16_8_4_relu_dropout0_run3,0.5100,0.6850,0.5874
ELMChain_128_64_32_16_8_4_relu_dropout0.02_run1,0.3700,0.7600,0.5369
ELMChain_128_64_32_16_8_4_relu_dropout0.02_run2,0.4350,0.7100,0.5557
ELMChain_128_64_32_16_8_4_relu_dropout0.02_run3,0.3550,0.8300,0.5502
ELMChain_128_64_32_16_8_4_relu_dropout0.05_run1,0.3750,0.7400,0.5304
ELMChain_128_64_32_16_8_4_relu_dropout0.05_run2,0.3050,0.7650,0.5031
ELMChain_128_64_32_16_8_4_relu_dropout0.05_run3,0.5550,0.6400,0.5927
ELMChain_128_64_32_16_8_4_tanh_dropout0_run1,0.3050,0.7200,0.4906
ELMChain_128_64_32_16_8_4_tanh_dropout0_run2,0.3150,0.7950,0.5168
ELMChain_128_64_32_16_8_4_tanh_dropout0_run3,0.3150,0.7500,0.5119
ELMChain_128_64_32_16_8_4_tanh_dropout0.02_run1,0.3400,0.7750,0.5224
ELMChain_128_64_32_16_8_4_tanh_dropout0.02_run2,0.3050,0.7800,0.5020
ELMChain_128_64_32_16_8_4_tanh_dropout0.02_run3,0.3550,0.7750,0.5288
ELMChain_128_64_32_16_8_4_tanh_dropout0.05_run1,0.3550,0.7400,0.5216
ELMChain_128_64_32_16_8_4_tanh_dropout0.05_run2,0.3100,0.7550,0.5056
ELMChain_128_64_32_16_8_4_tanh_dropout0.05_run3,0.3250,0.7550,0.5009
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0_run1,0.3500,0.7300,0.5109
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0_run2,0.2700,0.7700,0.4769
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0_run3,0.3200,0.7750,0.5173
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0.02_run1,0.2700,0.7350,0.4735
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0.02_run2,0.3500,0.7900,0.5484
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0.02_run3,0.3200,0.7400,0.4962
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0.05_run1,0.3400,0.7650,0.5228
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0.05_run2,0.3100,0.7700,0.5053
ELMChain_128_64_32_16_8_4_leakyRelu_dropout0.05_run3,0.3900,0.7750,0.5492
